epoch,acc,loss
0,0.6760441234956357,0.6358251867238734
1,0.6859303508649112,0.6019777488250317
2,0.6859997219957987,0.5818247276386607
3,0.6879422785803434,0.568309927844333
4,0.7037949210250694,0.5593949325028117
5,0.718121271011352,0.550741502662894
6,0.7264118260536376,0.5430761329985796
7,0.7359511625986747,0.5327199686329491
8,0.7392812570983698,0.5281135853764021
9,0.750104065905402,0.5180848597553942
0,0.6748994050036526,0.6400913700277372
1,0.6859303446621244,0.6014255739058935
2,0.6863119209691029,0.5793221064839231
3,0.6889829326225118,0.5674023658752574
4,0.7047662012980982,0.5558634601503433
5,0.7157277616876264,0.5497576452350259
6,0.726169002664822,0.5423628217273833
7,0.729672539204388,0.5323812696926138
8,0.7383793545808047,0.5261654523915253
9,0.7459414479420554,0.5175919940340316
10,0.753364783418779,0.5069487326863372
11,0.7598862214890336,0.49591834413719127
0,0.6664354081282556,0.6425719110234958
1,0.6863812978933932,0.5846941818331852
2,0.6905786067855264,0.5642456341148729
3,0.7153114982603723,0.5487646705812004
4,0.7296725368059771,0.535800319759942
5,0.7384834229094287,0.5247946010662942
6,0.7498265552557142,0.511467146341275
7,0.7583252393961184,0.4973891871583698
8,0.7672401757119217,0.4829400510786806
9,0.7758429289294195,0.46988037379518766
0,0.6785763856341442,0.6420509518392046
1,0.6859303468703165,0.6057791466792016
2,0.6859303470439946,0.5847092971931438
3,0.6858956567520272,0.5708317676512829
4,0.6858956572689262,0.5603475595820673
5,0.693700570024398,0.5508488129937601
6,0.7162827820813952,0.5451891594419734
0,0.6729568465665423,0.643924083833111
1,0.6859303483837964,0.608615198362977
2,0.6858956583730222,0.5885024928957311
3,0.6861037892823546,0.5750771705653046
4,0.6879769650762052,0.5656059028636868
5,0.7015748555937802,0.5547324746321983
6,0.712467045530592,0.5480893700880731
0,0.6840571635173365,0.635852469540476
1,0.6859303430659407,0.5950531513842793
2,0.6859303432727002,0.5762730866228143
3,0.6859303447200171,0.5657950857980119
4,0.6864506716832086,0.5588228031569055
5,0.6971694150397099,0.5510048826450082
6,0.7258568038900071,0.5426089351859026
0,0.6540516160973335,0.6533487366376215
1,0.6859997229592982,0.6091971394133101
2,0.6880810332352864,0.5833818110527138
3,0.6968225357567899,0.5682952547885516
4,0.711634522980818,0.5568063298739887
5,0.7179131341142629,0.5476049672710395
6,0.7255446132243019,0.5397346981921143
0,0.60770778468599,0.6817689798767166
1,0.685895657330954,0.6254663675738155
2,0.686277230362861,0.5885376595865263
3,0.6901623383381503,0.5703219598947723
4,0.6999791837588781,0.5592657663636256
5,0.7137852072781923,0.5511160422681488
6,0.7196475665381071,0.5403916615420578
0,0.6475995561361015,0.6565327688760098
1,0.6858956560903967,0.6081518435901654
2,0.686589427731711,0.5829077339526335
3,0.6943596489257119,0.5708828282427387
4,0.7079228493828904,0.5609444572092905
5,0.7162480895688303,0.5507747313756958
6,0.7222838910588348,0.5431255675832657
0,0.6832940231187343,0.6434253909327509
1,0.685930346254173,0.6094936730958592
2,0.6859303494506758,0.5855906012899521
3,0.6859303494217294,0.568956273400504
4,0.6859303466511514,0.5624651421500887
5,0.6859303467131792,0.5560315703161385
0,0.6834327776454864,0.6402534785632272
1,0.6859303512701599,0.608547385380373
2,0.6859650382415686,0.5890598476751843
3,0.6860691031049024,0.5755596567377959
4,0.6862078596785741,0.5672939719134236
5,0.6895379521685664,0.5588317093537223
6,0.6994588602816527,0.5526047529766691
0,0.6801373634967589,0.6354359947594688
1,0.6860344098728144,0.5935853909516576
2,0.6884972949174897,0.5732002648745527
3,0.6983141377826695,0.5609108731140289
4,0.7151033719038854,0.5527706365488068
5,0.7201332041025327,0.5451064655151251
6,0.7302275572038812,0.5337210673390702
7,0.7409462992453916,0.5250827266502698
0,0.668308586827078,0.6463937491397678
1,0.6859303427103143,0.6099897738558022
2,0.6860690974066092,0.5820316422394183
3,0.6866934937777095,0.5711920894439465
4,0.6925905374369443,0.5628700869679203
5,0.7071597084591189,0.5536163768606873
6,0.7216594962218904,0.5453709524134682
0,0.6829818222597831,0.6368633567856836
1,0.6859303454850275,0.6016946775673067
2,0.6883238503634227,0.5811770174487447
3,0.6963022061305353,0.5656569880636652
4,0.7040030523685967,0.5566849745980609
5,0.7162827809648936,0.5480072691393606
6,0.7252671008006171,0.5369864663891509
7,0.7334882748454491,0.5287797085964615
0,0.6369155166349945,0.661873251886164
1,0.6859303638473436,0.6062829375031323
2,0.6857222331447709,0.5811769041383054
3,0.6955043887449432,0.5652223004826035
4,0.7087207052650442,0.5548756331953838
5,0.7206535475506636,0.5456479006688936
6,0.7302969492588358,0.5358520052780205
7,0.7358471087804362,0.5261613981550438
